Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating,Risk_Level
49,Male,PhD,Divorced,72799.0,688.0,45713.0,Business,Unemployed,19,Poor,0.15431329631270066,120228.0,0.0,Port Elizabeth,AS,Cyprus,2.0,2,Bajo,1
21,Non-binary,Master's,Single,55687.0,600.0,36623.0,Home,Employed,8,Fair,0.36239801732546084,180700.0,3.0,South Scott,OK,Luxembourg,3.0,2,Alto,0
59,Male,Bachelor's,Single,26508.0,622.0,26541.0,Personal,Unemployed,2,Excellent,0.45496438073379486,157319.0,3.0,Robinhaven,PR,Uganda,4.0,2,Alto,0
42,Non-binary,Master's,Single,116212.0,707.0,24771.0,Home,Employed,11,Excellent,0.11413374759829523,212198.0,3.0,Matthewborough,NH,French Guiana,0.0,2,Bajo,1
55,Male,High School,Married,70978.0,706.0,36970.0,Personal,Unemployed,19,Excellent,0.26694090925040004,54041.0,3.0,Christophermouth,MO,Tonga,1.0,0,Bajo,1
56,Non-binary,PhD,Married,21084.0,702.0,22039.0,Personal,Employed,19,Fair,0.23104637400031283,226053.0,2.0,East James,MP,Isle of Man,0.0,2,Alto,0
41,Male,PhD,Married,93133.0,791.0,14052.0,Business,Employed,13,Poor,0.2828500570626953,82774.0,0.0,Lewisland,AZ,South Georgia and the South Sandwich Islands,1.0,0,Bajo,1
48,Non-binary,PhD,Married,46408.0,632.0,48403.0,Personal,Unemployed,16,Excellent,0.1853253064176966,93647.0,3.0,South Jason,KS,Guyana,1.0,0,Medio,2
47,Female,High School,Single,33065.0,783.0,6895.0,Auto,Self-employed,2,Fair,0.11668091553077334,158428.0,3.0,West Sharon,AL,Seychelles,2.0,0,Alto,0
21,Male,Bachelor's,Widowed,73952.0,631.0,49525.0,Auto,Unemployed,3,Excellent,0.1436440906212159,32912.0,0.0,West Denisebury,KY,French Guiana,1.0,2,Medio,2
65,Male,PhD,Widowed,77146.0,796.0,38386.0,Business,Self-employed,17,Fair,0.3231863863545411,262145.0,0.0,Johnsonside,LA,Vietnam,4.0,1,Alto,0
39,Non-binary,PhD,Single,93509.0,703.0,16651.0,Auto,Unemployed,5,Fair,0.5285823483026814,270036.0,0.0,North Joshuaborough,MI,Falkland Islands (Malvinas),0.0,0,Bajo,1
36,Male,Bachelor's,Divorced,29868.0,635.0,12521.0,Auto,Employed,17,Excellent,0.3504541332462523,240325.0,2.0,Wendyshire,ND,Dominica,4.0,0,Alto,0
36,Female,Master's,Married,68776.0,612.0,47707.0,Personal,Unemployed,11,Fair,0.3323967910462594,68491.0,0.0,Port Christopher,NY,Brunei Darussalam,1.0,1,Medio,2
54,Female,Bachelor's,Married,98669.0,720.0,19464.0,Business,Unemployed,2,Poor,0.1679040914919637,26571.0,0.0,Smithview,IA,French Polynesia,1.0,0,Bajo,1
19,Non-binary,Master's,Single,112545.0,712.0,15503.0,Home,Unemployed,7,Poor,0.25217285401685385,194154.0,0.0,Ibarraport,NJ,Zimbabwe,4.0,0,Alto,0
44,Non-binary,PhD,Widowed,51280.0,750.0,22162.0,Home,Employed,11,Excellent,0.5501304950345566,87579.0,3.0,East Danielmouth,AS,Haiti,1.0,2,Bajo,1
65,Male,Master's,Divorced,106526.0,650.0,23161.0,Auto,Employed,19,Poor,0.5448673968438962,98025.0,4.0,Richardbury,ID,Armenia,0.0,0,Medio,2
36,Non-binary,Bachelor's,Widowed,37105.0,720.0,33259.0,Home,Employed,7,Fair,0.41277702763585167,294048.0,2.0,Yvonneland,NY,Brunei Darussalam,3.0,1,Alto,0
39,Female,Master's,Widowed,100015.0,615.0,23114.0,Business,Unemployed,14,Poor,0.48464249052051134,85309.0,0.0,New Meganshire,NV,French Polynesia,3.0,0,Alto,0
50,Female,Master's,Divorced,96293.0,708.0,21552.0,Auto,Employed,3,Excellent,0.12939420972283414,255942.0,4.0,Port Amy,FM,Egypt,0.0,1,Bajo,1
38,Non-binary,Bachelor's,Single,48069.0,670.0,17841.0,Home,Unemployed,17,Excellent,0.15751912714088298,241550.0,2.0,Jacksonmouth,WA,Jordan,0.0,2,Medio,2
35,Female,PhD,Married,72433.0,792.0,5747.0,Business,Self-employed,4,Good,0.3273739345775527,112076.0,0.0,Andreaborough,NC,Thailand,3.0,2,Alto,0
22,Non-binary,Master's,Widowed,65266.0,617.0,34746.0,Home,Unemployed,18,Poor,0.26894428062818065,40215.0,4.0,Taylormouth,ND,Botswana,1.0,1,Medio,2
40,Male,Master's,Widowed,98578.0,663.0,8747.0,Auto,Self-employed,1,Good,0.5146706368606976,37396.0,0.0,Jacobview,WV,Russian Federation,0.0,1,Medio,2
39,Male,High School,Married,90227.0,770.0,18079.0,Business,Employed,3,Poor,0.5187589537006945,163838.0,1.0,South Brianna,GU,Mali,0.0,1,Bajo,1
31,Non-binary,High School,Divorced,107081.0,740.0,18101.0,Business,Employed,5,Poor,0.10879381712622424,25157.0,2.0,Gordonbury,AL,Ukraine,1.0,2,Bajo,1
45,Female,High School,Widowed,82878.0,748.0,17023.0,Auto,Self-employed,19,Poor,0.5849112572624202,192705.0,4.0,Penamouth,NH,Ethiopia,4.0,1,Alto,0
19,Male,High School,Married,35817.0,731.0,44426.0,Home,Unemployed,1,Fair,0.5054597465036814,20626.0,1.0,East Triciatown,WI,Angola,0.0,2,Alto,0
36,Female,High School,Married,65104.0,699.0,44260.0,Home,Employed,2,Excellent,0.3377617250479925,135458.0,4.0,Zacharyhaven,NM,Guatemala,2.0,2,Bajo,1
23,Male,Bachelor's,Single,28906.0,724.0,24532.0,Business,Unemployed,3,Poor,0.500613650535156,96640.0,2.0,Lake Evelynstad,CA,Monaco,0.0,0,Alto,0
22,Male,Master's,Widowed,104766.0,764.0,16117.0,Business,Unemployed,17,Good,0.21152506121479356,156630.0,3.0,New Shannonberg,KY,Gambia,3.0,1,Alto,0
41,Female,Master's,Widowed,79556.0,742.0,5235.0,Home,Employed,5,Excellent,0.32235613895656123,247857.0,0.0,Onealfurt,WA,Romania,4.0,0,Alto,0
57,Male,Master's,Single,116102.0,629.0,31831.0,Home,Employed,16,Excellent,0.5163625127453508,228018.0,4.0,Smithborough,IA,Palestinian Territory,2.0,0,Medio,2
52,Male,High School,Married,32094.0,634.0,17612.0,Home,Self-employed,17,Good,0.5494565438929674,114375.0,2.0,West Robert,IA,Singapore,2.0,0,Alto,0
55,Non-binary,Master's,Widowed,108177.0,735.0,23616.0,Business,Employed,12,Fair,0.33528435621267094,165613.0,2.0,Barneston,CA,Saint Pierre and Miquelon,1.0,2,Bajo,1
41,Female,PhD,Widowed,96591.0,722.0,7260.0,Home,Employed,12,Fair,0.5844948094433683,102681.0,0.0,New Shelby,KS,Lesotho,2.0,2,Bajo,1
67,Male,Master's,Widowed,107366.0,655.0,20154.0,Home,Employed,9,Poor,0.4166178675119605,108345.0,4.0,New Valerie,GA,Monaco,4.0,1,Alto,0
60,Female,PhD,Married,74030.0,711.0,9459.0,Personal,Unemployed,19,Fair,0.16067688801782584,96641.0,2.0,Lake Daniel,PW,Argentina,0.0,2,Bajo,1
39,Male,Master's,Divorced,56116.0,636.0,16578.0,Personal,Employed,12,Excellent,0.3131077322681647,197835.0,1.0,Johnnyberg,NY,South Africa,1.0,0,Medio,2
64,Male,PhD,Single,101855.0,686.0,48584.0,Auto,Self-employed,9,Good,0.5725244059508022,138039.0,3.0,East Keith,MS,El Salvador,3.0,1,Alto,0
39,Non-binary,High School,Widowed,99622.0,720.0,23158.0,Auto,Employed,6,Good,0.4198139284173301,65046.0,4.0,New Ashley,MN,El Salvador,2.0,1,Bajo,1
67,Male,PhD,Divorced,110896.0,689.0,11503.0,Business,Self-employed,9,Excellent,0.10625170343049303,121360.0,0.0,New Russellfurt,HI,Jersey,2.0,0,Bajo,1
28,Female,PhD,Single,64541.0,703.0,20017.0,Auto,Self-employed,1,Good,0.2063119883207453,24856.0,4.0,Lake Keithtown,MO,Suriname,1.0,1,Bajo,1
31,Female,PhD,Widowed,50885.0,669.0,18293.0,Home,Unemployed,7,Poor,0.2585700348588018,99103.0,4.0,Margaretchester,KY,Mayotte,3.0,2,Alto,0
48,Male,Master's,Divorced,107050.0,711.0,14382.0,Business,Self-employed,3,Excellent,0.5021079663602153,142063.0,1.0,New Janet,CT,Samoa,1.0,1,Bajo,1
35,Male,High School,Divorced,114877.0,699.0,46113.0,Business,Unemployed,6,Excellent,0.389906857140349,254153.0,0.0,Port Andreamouth,WV,Luxembourg,1.0,1,Bajo,1
36,Female,Bachelor's,Divorced,44283.0,755.0,42326.0,Personal,Self-employed,7,Poor,0.11613530899467392,228890.0,4.0,Turnerchester,NV,Micronesia,0.0,2,Bajo,1
59,Female,High School,Single,60385.0,743.0,30961.0,Business,Self-employed,19,Excellent,0.3837790169957481,222830.0,4.0,Greenport,WV,Azerbaijan,2.0,0,Bajo,1
43,Female,Bachelor's,Single,29797.0,727.0,10640.0,Business,Self-employed,14,Excellent,0.5093030635544635,89291.0,4.0,Frankport,NE,Austria,3.0,0,Alto,0
39,Non-binary,Bachelor's,Divorced,31137.0,757.0,7326.0,Personal,Unemployed,9,Poor,0.4417942672230454,68848.0,3.0,North Nathantown,MN,Indonesia,1.0,2,Alto,0
62,Female,PhD,Divorced,115923.0,726.0,37406.0,Personal,Self-employed,17,Good,0.2873108782096099,154178.0,1.0,West Elizabethside,MA,Peru,2.0,1,Bajo,1
22,Female,High School,Widowed,69738.0,727.0,15974.0,Auto,Self-employed,10,Good,0.3874834568199873,238717.0,1.0,New Kathryn,OR,Norway,0.0,1,Bajo,1
37,Non-binary,PhD,Divorced,76795.0,645.0,33454.0,Personal,Self-employed,13,Excellent,0.508511241522257,40258.0,4.0,Andreaborough,NV,Bangladesh,3.0,0,Alto,0
27,Non-binary,High School,Widowed,61232.0,643.0,46522.0,Business,Unemployed,6,Fair,0.15109907462869607,285561.0,2.0,Villafurt,RI,Sao Tome and Principe,2.0,0,Medio,2
65,Male,Master's,Single,89126.0,643.0,38741.0,Auto,Employed,0,Excellent,0.13144915884074995,50589.0,1.0,New Julieside,AK,Martinique,4.0,0,Alto,0
66,Non-binary,PhD,Widowed,104677.0,784.0,24588.0,Home,Unemployed,9,Fair,0.30483600218817364,50584.0,4.0,South Karen,NM,Finland,4.0,0,Alto,0
27,Non-binary,Master's,Divorced,80523.0,604.0,13043.0,Auto,Employed,15,Excellent,0.11227024857802945,201865.0,3.0,North Jessicachester,WY,Andorra,4.0,1,Alto,0
37,Female,PhD,Single,20987.0,640.0,8042.0,Home,Employed,12,Fair,0.44281268384484385,55772.0,3.0,Bradleyshire,NE,Falkland Islands (Malvinas),1.0,1,Alto,0
26,Male,High School,Widowed,28583.0,611.0,29949.0,Personal,Employed,19,Excellent,0.20014379312400668,139629.0,3.0,West Ashleyberg,KS,Libyan Arab Jamahiriya,2.0,0,Alto,0
21,Male,Bachelor's,Divorced,39330.0,769.0,27489.0,Home,Self-employed,14,Excellent,0.45461082452773127,284455.0,3.0,Martinezmouth,PA,Costa Rica,0.0,2,Alto,0
52,Non-binary,PhD,Divorced,111594.0,715.0,9174.0,Home,Unemployed,4,Good,0.10081512596719441,137074.0,2.0,Victoriamouth,MN,Western Sahara,2.0,1,Bajo,1
27,Female,High School,Divorced,102789.0,742.0,10729.0,Business,Employed,17,Good,0.2713076074217362,269293.0,0.0,Lauratown,AL,Vanuatu,1.0,0,Bajo,1
47,Non-binary,High School,Married,28673.0,699.0,19540.0,Auto,Unemployed,19,Fair,0.40804067166142766,255563.0,0.0,North Bonnie,MI,Mali,1.0,2,Alto,0
22,Female,Bachelor's,Widowed,35973.0,663.0,19492.0,Auto,Unemployed,2,Good,0.4324942876649389,82006.0,3.0,Hartmanmouth,VI,Suriname,0.0,0,Alto,0
41,Male,Bachelor's,Single,62011.0,747.0,15722.0,Business,Employed,3,Poor,0.17655391501053988,259195.0,2.0,Garrettton,MD,Romania,3.0,0,Alto,0
54,Male,Bachelor's,Married,114486.0,704.0,32353.0,Auto,Self-employed,7,Poor,0.4003182792891047,222630.0,1.0,Jarviston,KY,Saint Pierre and Miquelon,1.0,1,Bajo,1
34,Female,Bachelor's,Single,42064.0,760.0,39482.0,Personal,Employed,0,Excellent,0.20190021949604073,243318.0,0.0,Krystalberg,PA,Lesotho,3.0,2,Alto,0
43,Female,PhD,Widowed,31231.0,712.0,48935.0,Personal,Employed,8,Good,0.10750652035133287,277314.0,2.0,South Kent,CT,Pakistan,3.0,0,Alto,0
47,Male,Bachelor's,Married,85651.0,799.0,17157.0,Auto,Unemployed,2,Fair,0.5419208655938658,200136.0,3.0,Matthewshire,RI,Grenada,3.0,0,Alto,0
45,Male,Bachelor's,Divorced,85839.0,686.0,29177.0,Business,Self-employed,11,Excellent,0.26005521307804924,114053.0,0.0,Port Vickie,LA,New Caledonia,4.0,0,Alto,0
20,Non-binary,Bachelor's,Single,109590.0,625.0,41449.0,Personal,Self-employed,16,Fair,0.519828253285117,114922.0,1.0,Annettemouth,PR,Cape Verde,4.0,2,Alto,0
47,Non-binary,High School,Single,58217.0,658.0,15328.0,Business,Unemployed,11,Poor,0.5254072582178596,169695.0,0.0,East Nicholas,NH,Angola,0.0,0,Medio,2
49,Non-binary,Bachelor's,Married,105916.0,750.0,6324.0,Personal,Unemployed,17,Poor,0.26998445879325284,89195.0,2.0,New Phillip,SD,Peru,1.0,1,Bajo,1
62,Non-binary,Master's,Single,74850.0,650.0,17324.0,Personal,Self-employed,14,Excellent,0.19127667460854467,151244.0,0.0,New Catherineton,OR,Marshall Islands,0.0,2,Medio,2
40,Male,Bachelor's,Single,90179.0,693.0,32825.0,Personal,Self-employed,5,Good,0.5841473446063327,129600.0,3.0,Brownville,IL,Wallis and Futuna,4.0,1,Alto,0
31,Male,High School,Married,34002.0,738.0,23618.0,Home,Unemployed,6,Fair,0.17305568029073234,269695.0,3.0,Davismouth,AL,Peru,2.0,1,Alto,0
48,Male,Master's,Divorced,37540.0,673.0,34317.0,Home,Employed,7,Poor,0.5059027255840258,32715.0,4.0,New Sara,NE,Morocco,4.0,1,Alto,0
55,Non-binary,High School,Divorced,98283.0,650.0,42997.0,Auto,Unemployed,17,Fair,0.48663867885118883,178174.0,4.0,East John,ID,Argentina,0.0,0,Medio,2
65,Male,High School,Single,27826.0,736.0,43125.0,Auto,Employed,18,Good,0.2531614675810945,118770.0,0.0,West David,FL,Iraq,3.0,1,Alto,0
54,Non-binary,Master's,Single,62296.0,744.0,23778.0,Business,Self-employed,1,Excellent,0.20305280667114642,173854.0,0.0,Port Sandra,DE,Bulgaria,1.0,0,Bajo,1
30,Non-binary,Master's,Widowed,114499.0,779.0,40584.0,Auto,Self-employed,6,Fair,0.28405261391884407,76919.0,3.0,New Susan,AR,Mauritius,2.0,1,Bajo,1
19,Female,Bachelor's,Single,83471.0,793.0,8810.0,Personal,Self-employed,14,Excellent,0.5115467956413187,145761.0,4.0,Baileystad,ND,Mauritania,1.0,0,Bajo,1
19,Female,Master's,Divorced,115381.0,727.0,40970.0,Auto,Self-employed,14,Good,0.451811592453071,291530.0,1.0,Hunterside,SC,Namibia,0.0,0,Bajo,1
43,Male,Master's,Divorced,81683.0,693.0,10316.0,Home,Employed,2,Good,0.35131913549524907,28304.0,3.0,Dyerfort,MS,Holy See (Vatican City State),0.0,0,Bajo,1
25,Non-binary,Master's,Single,37330.0,797.0,28892.0,Personal,Unemployed,11,Excellent,0.45114275961176176,247877.0,3.0,Keithberg,IL,Iraq,2.0,1,Alto,0
32,Female,PhD,Single,99688.0,732.0,12429.0,Home,Unemployed,8,Poor,0.43023400317346217,267072.0,0.0,Port Sarahton,MI,North Macedonia,3.0,2,Alto,0
60,Male,PhD,Married,114018.0,636.0,28620.0,Business,Employed,1,Excellent,0.26104426179986373,38980.0,3.0,West Kaylee,CO,Liberia,1.0,1,Medio,2
35,Female,PhD,Single,39629.0,622.0,9537.0,Home,Unemployed,2,Fair,0.5243581890459524,48636.0,1.0,Desireeville,DC,Sao Tome and Principe,4.0,0,Alto,0
66,Female,High School,Single,61291.0,639.0,7908.0,Personal,Unemployed,12,Poor,0.16899969343085122,33810.0,1.0,Port David,WA,Mayotte,3.0,2,Alto,0
46,Female,Master's,Married,34284.0,775.0,26340.0,Personal,Self-employed,14,Fair,0.40035399069359945,64156.0,4.0,New Melissamouth,NV,Wallis and Futuna,0.0,2,Alto,0
28,Non-binary,Bachelor's,Divorced,98311.0,689.0,34763.0,Business,Employed,8,Excellent,0.3886654611622202,216062.0,0.0,West Deanna,TN,India,3.0,2,Alto,0
67,Male,Bachelor's,Widowed,63148.0,660.0,16704.0,Auto,Self-employed,0,Fair,0.3343446208767886,40643.0,0.0,Kimberlychester,TX,Tajikistan,4.0,2,Alto,0
28,Male,Bachelor's,Single,94693.0,718.0,20928.0,Business,Unemployed,5,Fair,0.32384981148655856,257028.0,2.0,Josephstad,MP,Georgia,4.0,2,Alto,0
27,Male,High School,Single,88173.0,746.0,14800.0,Personal,Self-employed,8,Fair,0.5387122455816609,289092.0,0.0,South Susanfurt,KY,Congo,1.0,1,Bajo,1
